Timestamp,Vault,Chain,Address,Type,Month,APY,TVL
2022-03-31,yvCurve-ibAUD 0.4.3 - ETH,ETH,0x1b905331F7dE2748F4D6a0678e1521E20347643F,Iron Bank,mar/22,,34942.34525125
2021-06-30,yvCurve-ibAUD 0.4.3 - ETH,ETH,0x1b905331F7dE2748F4D6a0678e1521E20347643F,Iron Bank,jun/21,,
2021-10-31,yvCurve-ibAUD 0.4.3 - ETH,ETH,0x1b905331F7dE2748F4D6a0678e1521E20347643F,Iron Bank,oct/21,,0.0
2022-04-30,yvCurve-ibAUD 0.4.3 - ETH,ETH,0x1b905331F7dE2748F4D6a0678e1521E20347643F,Iron Bank,apr/22,,29098.87194117
2021-02-28,yvCurve-ibAUD 0.4.3 - ETH,ETH,0x1b905331F7dE2748F4D6a0678e1521E20347643F,Iron Bank,feb/21,,
2021-12-31,yvCurve-ibAUD 0.4.3 - ETH,ETH,0x1b905331F7dE2748F4D6a0678e1521E20347643F,Iron Bank,dec/21,,1740.8348446065
2022-05-31,yvCurve-ibAUD 0.4.3 - ETH,ETH,0x1b905331F7dE2748F4D6a0678e1521E20347643F,Iron Bank,may/22,,4836.03071059
2021-05-31,yvCurve-ibAUD 0.4.3 - ETH,ETH,0x1b905331F7dE2748F4D6a0678e1521E20347643F,Iron Bank,may/21,,
2021-11-30,yvCurve-ibAUD 0.4.3 - ETH,ETH,0x1b905331F7dE2748F4D6a0678e1521E20347643F,Iron Bank,nov/21,,36134.9419914
2021-03-31,yvCurve-ibAUD 0.4.3 - ETH,ETH,0x1b905331F7dE2748F4D6a0678e1521E20347643F,Iron Bank,mar/21,,
2022-06-30,yvCurve-ibAUD 0.4.3 - ETH,ETH,0x1b905331F7dE2748F4D6a0678e1521E20347643F,Iron Bank,jun/22,,3615.11962787
2021-07-31,yvCurve-ibAUD 0.4.3 - ETH,ETH,0x1b905331F7dE2748F4D6a0678e1521E20347643F,Iron Bank,jul/21,,
2022-08-31,yvCurve-ibAUD 0.4.3 - ETH,ETH,0x1b905331F7dE2748F4D6a0678e1521E20347643F,Iron Bank,aug/22,,40198.63370331
2021-08-31,yvCurve-ibAUD 0.4.3 - ETH,ETH,0x1b905331F7dE2748F4D6a0678e1521E20347643F,Iron Bank,aug/21,,
2021-09-30,yvCurve-ibAUD 0.4.3 - ETH,ETH,0x1b905331F7dE2748F4D6a0678e1521E20347643F,Iron Bank,sep/21,,0.0
2021-04-30,yvCurve-ibAUD 0.4.3 - ETH,ETH,0x1b905331F7dE2748F4D6a0678e1521E20347643F,Iron Bank,apr/21,,
2022-09-30,yvCurve-ibAUD 0.4.3 - ETH,ETH,0x1b905331F7dE2748F4D6a0678e1521E20347643F,Iron Bank,sep/22,,35044.62991957
2022-02-28,yvCurve-ibAUD 0.4.3 - ETH,ETH,0x1b905331F7dE2748F4D6a0678e1521E20347643F,Iron Bank,feb/22,,17032.38885035
2022-01-31,yvFRAX 0.4.3 - FTM,FTM,0x357ca46da26E1EefC195287ce9D838A6D5023ef3,Stable,jan/22,0.051298743237621736,1722271.31730455
2022-07-31,yvFRAX 0.4.3 - FTM,FTM,0x357ca46da26E1EefC195287ce9D838A6D5023ef3,Stable,jul/22,,36175.88134047
2021-01-31,yvFRAX 0.4.3 - FTM,FTM,0x357ca46da26E1EefC195287ce9D838A6D5023ef3,Stable,jan/21,,
2022-03-31,yvFRAX 0.4.3 - FTM,FTM,0x357ca46da26E1EefC195287ce9D838A6D5023ef3,Stable,mar/22,0.08861518385209322,283998.06648
2021-06-30,yvFRAX 0.4.3 - FTM,FTM,0x357ca46da26E1EefC195287ce9D838A6D5023ef3,Stable,jun/21,,
2021-10-31,yvFRAX 0.4.3 - FTM,FTM,0x357ca46da26E1EefC195287ce9D838A6D5023ef3,Stable,oct/21,,
2022-04-30,yvFRAX 0.4.3 - FTM,FTM,0x357ca46da26E1EefC195287ce9D838A6D5023ef3,Stable,apr/22,0.011835248284661093,3673391.7702115295
2021-02-28,yvFRAX 0.4.3 - FTM,FTM,0x357ca46da26E1EefC195287ce9D838A6D5023ef3,Stable,feb/21,,
2021-12-31,yvFRAX 0.4.3 - FTM,FTM,0x357ca46da26E1EefC195287ce9D838A6D5023ef3,Stable,dec/21,,314.761990247
2022-05-31,yvFRAX 0.4.3 - FTM,FTM,0x357ca46da26E1EefC195287ce9D838A6D5023ef3,Stable,may/22,0.0762355762354665,220158.199997
2021-05-31,yvFRAX 0.4.3 - FTM,FTM,0x357ca46da26E1EefC195287ce9D838A6D5023ef3,Stable,may/21,,
2021-11-30,yvFRAX 0.4.3 - FTM,FTM,0x357ca46da26E1EefC195287ce9D838A6D5023ef3,Stable,nov/21,,
2021-03-31,yvFRAX 0.4.3 - FTM,FTM,0x357ca46da26E1EefC195287ce9D838A6D5023ef3,Stable,mar/21,,
2022-06-30,yvFRAX 0.4.3 - FTM,FTM,0x357ca46da26E1EefC195287ce9D838A6D5023ef3,Stable,jun/22,,197693.833716
2021-07-31,yvFRAX 0.4.3 - FTM,FTM,0x357ca46da26E1EefC195287ce9D838A6D5023ef3,Stable,jul/21,,
2022-08-31,yvFRAX 0.4.3 - FTM,FTM,0x357ca46da26E1EefC195287ce9D838A6D5023ef3,Stable,aug/22,,36173.92512981
2021-08-31,yvFRAX 0.4.3 - FTM,FTM,0x357ca46da26E1EefC195287ce9D838A6D5023ef3,Stable,aug/21,,
2021-09-30,yvFRAX 0.4.3 - FTM,FTM,0x357ca46da26E1EefC195287ce9D838A6D5023ef3,Stable,sep/21,,
2021-04-30,yvFRAX 0.4.3 - FTM,FTM,0x357ca46da26E1EefC195287ce9D838A6D5023ef3,Stable,apr/21,,
2022-09-30,yvFRAX 0.4.3 - FTM,FTM,0x357ca46da26E1EefC195287ce9D838A6D5023ef3,Stable,sep/22,,35598.20951308
2022-02-28,yvFRAX 0.4.3 - FTM,FTM,0x357ca46da26E1EefC195287ce9D838A6D5023ef3,Stable,feb/22,0.0055207301313195956,81320.72392566
2022-01-31,yvCurve-ibJPY-USDC 0.4.3 - ETH,ETH,0x9A39f31DD5EDF5919A5C0c2433cE053fAD2E0336,Other,jan/22,,
2022-07-31,yvCurve-ibJPY-USDC 0.4.3 - ETH,ETH,0x9A39f31DD5EDF5919A5C0c2433cE053fAD2E0336,Other,jul/22,,504.653682151
